flow_id,name,group_name,receiver,sender,priority_class,start_s,priority_rank,credit_path,credit_hops,fct_s,completed,goodput_bps,credits_sent,credits_received,credit_delivery_ratio,credit_loss_proxy,credit_tax_proxy,credit_hop_cost_sent,credit_hop_cost_received,data_packets_sent,data_packets_received,duplicate_credits,duplicate_data,timeouts,retransmissions
9,r2-long-s1-f000,r2-long-s1,2,1,long,0.000105,0,2->6->7->1,3,nan,False,nan,28,21,0.75,7,21,84,63,4,4,5,0,0,0
10,r2-long-s1-f001,r2-long-s1,2,1,long,0.000105,0,2->6->7->1,3,nan,False,nan,29,23,0.7931034482758621,6,18,87,69,3,3,7,0,0,0
11,r2-long-s1-f002,r2-long-s1,2,1,long,0.000105,0,2->6->7->1,3,nan,False,nan,32,22,0.6875,10,30,96,66,0,0,6,0,0,0
12,r2-long-s1-f003,r2-long-s1,2,1,long,0.000105,0,2->6->7->1,3,nan,False,nan,28,20,0.7142857142857143,8,24,84,60,4,4,7,0,0,0
13,r2-long-s1-f004,r2-long-s1,2,1,long,0.000105,0,2->6->7->1,3,nan,False,nan,29,23,0.7931034482758621,6,18,87,69,3,3,7,0,0,0
14,r2-long-s1-f005,r2-long-s1,2,1,long,0.000105,0,2->6->7->1,3,nan,False,nan,30,24,0.8,6,18,90,72,2,2,11,0,0,0
15,r2-long-s1-f006,r2-long-s1,2,1,long,0.000105,0,2->6->7->1,3,nan,False,nan,31,24,0.7741935483870968,7,21,93,72,1,1,9,0,0,0
16,r2-long-s1-f007,r2-long-s1,2,1,long,0.000105,0,2->6->7->1,3,nan,False,nan,32,24,0.75,8,24,96,72,0,0,9,0,0,0
1,r2-short-s6-f000,r2-short-s6,2,6,short,0.000105,0,2->6,1,9e-06,True,14563555555.555555,16,16,1.0,0,0,16,16,16,16,0,0,0,0
2,r2-short-s6-f001,r2-short-s6,2,6,short,0.000105,0,2->6,1,1.1e-05,True,11915636363.636364,16,16,1.0,0,0,16,16,16,16,0,0,0,0
3,r2-short-s6-f002,r2-short-s6,2,6,short,0.000105,0,2->6,1,nan,False,nan,29,26,0.896551724137931,3,3,29,26,3,3,10,0,0,0
4,r2-short-s6-f003,r2-short-s6,2,6,short,0.000105,0,2->6,1,nan,False,nan,30,24,0.8,6,6,30,24,2,2,9,0,0,0
5,r2-short-s6-f004,r2-short-s6,2,6,short,0.000105,0,2->6,1,nan,False,nan,31,24,0.7741935483870968,7,7,31,24,1,1,9,0,0,0
6,r2-short-s6-f005,r2-short-s6,2,6,short,0.000105,0,2->6,1,nan,False,nan,32,24,0.75,8,8,32,24,0,0,9,0,0,0
7,r2-short-s6-f006,r2-short-s6,2,6,short,0.000105,0,2->6,1,nan,False,nan,28,22,0.7857142857142857,6,6,28,22,4,4,6,0,0,0
8,r2-short-s6-f007,r2-short-s6,2,6,short,0.000105,0,2->6,1,nan,False,nan,30,22,0.7333333333333333,8,8,30,22,2,2,8,0,0,0
25,r10-long-s12-f000,r10-long-s12,10,12,long,0.000105,0,10->6->7->3->12,4,nan,False,nan,28,12,0.42857142857142855,16,64,112,48,4,4,1,0,0,0
26,r10-long-s12-f001,r10-long-s12,10,12,long,0.000105,0,10->6->7->3->12,4,nan,False,nan,32,1,0.03125,31,124,128,4,0,0,0,0,0,0
27,r10-long-s12-f002,r10-long-s12,10,12,long,0.000105,0,10->6->7->3->12,4,nan,False,nan,32,5,0.15625,27,108,128,20,0,0,0,0,0,0
28,r10-long-s12-f003,r10-long-s12,10,12,long,0.000105,0,10->6->7->3->12,4,nan,False,nan,32,1,0.03125,31,124,128,4,0,0,0,0,0,0
29,r10-long-s12-f004,r10-long-s12,10,12,long,0.000105,0,10->6->7->3->12,4,nan,False,nan,29,3,0.10344827586206896,26,104,116,12,3,3,0,0,0,0
30,r10-long-s12-f005,r10-long-s12,10,12,long,0.000105,0,10->6->7->3->12,4,nan,False,nan,32,0,0.0,32,128,128,0,0,0,0,0,0,0
31,r10-long-s12-f006,r10-long-s12,10,12,long,0.000105,0,10->6->7->3->12,4,nan,False,nan,32,0,0.0,32,128,128,0,0,0,0,0,0,0
32,r10-long-s12-f007,r10-long-s12,10,12,long,0.000105,0,10->6->7->3->12,4,nan,False,nan,32,8,0.25,24,96,128,32,0,0,0,0,0,0
17,r10-short-s2-f000,r10-short-s2,10,2,short,0.000105,0,10->6->2,2,1.3e-05,True,10082461538.461538,16,16,1.0,0,0,32,32,16,16,0,0,0,0
18,r10-short-s2-f001,r10-short-s2,10,2,short,0.000105,0,10->6->2,2,1.5e-05,True,8738133333.333334,16,16,1.0,0,0,32,32,16,16,0,0,0,0
19,r10-short-s2-f002,r10-short-s2,10,2,short,0.000105,0,10->6->2,2,nan,False,nan,29,25,0.8620689655172413,4,8,58,50,3,3,9,0,0,0
20,r10-short-s2-f003,r10-short-s2,10,2,short,0.000105,0,10->6->2,2,nan,False,nan,30,25,0.8333333333333334,5,10,60,50,2,2,9,0,0,0
