flow_id,name,hop_class,src,dst,start_s,credit_min_hops,credit_max_hops,credit_avg_hops,credit_start_hops,fct_s,throughput_bps,data_packets_sent,data_packets_received,credits_sent,credits_received,credit_loss_proxy,credit_delivery_ratio,credit_tax,retransmissions,timeouts,path_len_0,path_len_1,path_len_2,path_len_3
1,long-0-10-15,long,10,15,0.0001,5,5,5.0,5,0.103976,322713241.51727325,4614,4096,4615,4615,0,1.0,1.126708984375,518,4606,4096,0,0,0
2,long-1-11-14,long,11,14,0.0001,5,5,5.0,5,0.103976,322713241.51727325,4614,4096,4615,4615,0,1.0,1.126708984375,518,4606,4096,0,0,0
3,long-2-12-13,long,12,13,0.0001,5,5,5.0,5,0.103976,322713241.51727325,4614,4096,4615,4615,0,1.0,1.126708984375,518,4606,4096,0,0,0
4,long-3-13-12,long,13,12,0.0001,5,5,5.0,5,0.103976,322713241.51727325,4614,4096,4615,4615,0,1.0,1.126708984375,518,4606,4096,0,0,0
5,long-4-14-11,long,14,11,0.0001,5,5,5.0,5,0.103976,322713241.51727325,4614,4096,4615,4615,0,1.0,1.126708984375,518,4606,4096,0,0,0
6,long-5-15-10,long,15,10,0.0001,5,5,5.0,5,0.103976,322713241.51727325,4614,4096,4615,4615,0,1.0,1.126708984375,518,4606,4096,0,0,0
7,long-6-0-8,long,0,8,0.0001,4,4,4.0,4,0.085823,390972489.891987,4524,4096,4525,4525,0,1.0,1.104736328125,428,4514,4096,0,0,0
8,long-7-0-9,long,0,9,0.0001,4,4,4.0,4,0.086232,389118100.0092773,4526,4096,4527,4527,0,1.0,1.105224609375,430,4516,4096,0,0,0
9,short-0-0-15,short,0,15,0.0001,1,1,1.0,1,0.034658,968158347.2791275,4268,4096,4269,4269,0,1.0,1.042236328125,172,4244,4096,0,0,0
10,short-1-1-14,short,1,14,0.0001,1,1,1.0,1,0.034658,968158347.2791275,4268,4096,4269,4269,0,1.0,1.042236328125,172,4244,4096,0,0,0
11,short-2-2-13,short,2,13,0.0001,1,1,1.0,1,0.034658,968158347.2791275,4268,4096,4269,4269,0,1.0,1.042236328125,172,4244,4096,0,0,0
12,short-3-2-15,short,2,15,0.0001,1,1,1.0,1,0.034658,968158347.2791275,4268,4096,4269,4269,0,1.0,1.042236328125,172,4244,4096,0,0,0
13,short-4-3-12,short,3,12,0.0001,1,1,1.0,1,0.034658,968158347.2791275,4268,4096,4269,4269,0,1.0,1.042236328125,172,4244,4096,0,0,0
14,short-5-3-14,short,3,14,0.0001,1,1,1.0,1,0.034658,968158347.2791275,4268,4096,4269,4269,0,1.0,1.042236328125,172,4244,4096,0,0,0
15,short-6-4-11,short,4,11,0.0001,1,1,1.0,1,0.034658,968158347.2791275,4268,4096,4269,4269,0,1.0,1.042236328125,172,4244,4096,0,0,0
16,short-7-4-13,short,4,13,0.0001,1,1,1.0,1,0.034658,968158347.2791275,4268,4096,4269,4269,0,1.0,1.042236328125,172,4244,4096,0,0,0
