distance,flow_id,name,sender,receiver,replica,start_s,data_path,credit_path,credit_hops,fct_s,completed,goodput_bps,credits_sent,credits_received,credit_delivery_ratio,credit_loss_proxy,credit_tax,lost_credit_hop_cost_proxy,credit_hop_cost_sent,credit_hop_cost_received,data_packets_sent,data_packets_received,duplicate_credits,duplicate_data,timeouts,retransmissions
1,1,d1-s0-r1-f000,0,1,0,0.000105,0->1,1->0,1,9e-06,True,14563555555.555555,16,16,1.0,0,1.0,0,16,16,16,16,0,0,0,0
1,2,d1-s0-r1-f001,0,1,1,0.000105,0->1,1->0,1,1.1e-05,True,11915636363.636364,16,16,1.0,0,1.0,0,16,16,16,16,0,0,0,0
1,3,d1-s0-r1-f002,0,1,2,0.000105,0->1,1->0,1,nan,False,nan,29,25,0.8620689655172413,4,9.666666666666666,4,29,25,3,3,9,0,0,0
1,4,d1-s0-r1-f003,0,1,3,0.000105,0->1,1->0,1,nan,False,nan,30,26,0.8666666666666667,4,15.0,4,30,26,2,2,10,0,0,0
1,5,d1-s0-r1-f004,0,1,4,0.000105,0->1,1->0,1,nan,False,nan,31,24,0.7741935483870968,7,31.0,7,31,24,1,1,9,0,0,0
1,6,d1-s0-r1-f005,0,1,5,0.000105,0->1,1->0,1,nan,False,nan,32,25,0.78125,7,,7,32,25,0,0,9,0,0,0
1,7,d1-s0-r1-f006,0,1,6,0.000105,0->1,1->0,1,nan,False,nan,28,22,0.7857142857142857,6,7.0,6,28,22,4,4,6,0,0,0
1,8,d1-s0-r1-f007,0,1,7,0.000105,0->1,1->0,1,nan,False,nan,29,23,0.7931034482758621,6,9.666666666666666,6,29,23,3,3,10,0,0,0
1,9,d1-s1-r2-f000,1,2,0,0.000105,1->2,2->1,1,9e-06,True,14563555555.555555,16,16,1.0,0,1.0,0,16,16,16,16,0,0,0,0
1,10,d1-s1-r2-f001,1,2,1,0.000105,1->2,2->1,1,1.1e-05,True,11915636363.636364,16,16,1.0,0,1.0,0,16,16,16,16,0,0,0,0
1,11,d1-s1-r2-f002,1,2,2,0.000105,1->2,2->1,1,nan,False,nan,29,25,0.8620689655172413,4,9.666666666666666,4,29,25,3,3,9,0,0,0
1,12,d1-s1-r2-f003,1,2,3,0.000105,1->2,2->1,1,nan,False,nan,30,27,0.9,3,15.0,3,30,27,2,2,11,0,0,0
1,13,d1-s1-r2-f004,1,2,4,0.000105,1->2,2->1,1,nan,False,nan,31,26,0.8387096774193549,5,31.0,5,31,26,1,1,10,0,0,0
1,14,d1-s1-r2-f005,1,2,5,0.000105,1->2,2->1,1,nan,False,nan,32,25,0.78125,7,,7,32,25,0,0,9,0,0,0
1,15,d1-s1-r2-f006,1,2,6,0.000105,1->2,2->1,1,nan,False,nan,28,22,0.7857142857142857,6,7.0,6,28,22,4,4,6,0,0,0
1,16,d1-s1-r2-f007,1,2,7,0.000105,1->2,2->1,1,nan,False,nan,29,23,0.7931034482758621,6,9.666666666666666,6,29,23,3,3,10,0,0,0
1,17,d1-s2-r3-f000,2,3,0,0.000105,2->3,3->2,1,9e-06,True,14563555555.555555,16,16,1.0,0,1.0,0,16,16,16,16,0,0,0,0
1,18,d1-s2-r3-f001,2,3,1,0.000105,2->3,3->2,1,1.1e-05,True,11915636363.636364,16,16,1.0,0,1.0,0,16,16,16,16,0,0,0,0
1,19,d1-s2-r3-f002,2,3,2,0.000105,2->3,3->2,1,nan,False,nan,29,26,0.896551724137931,3,9.666666666666666,3,29,26,3,3,10,0,0,0
1,20,d1-s2-r3-f003,2,3,3,0.000105,2->3,3->2,1,nan,False,nan,30,25,0.8333333333333334,5,15.0,5,30,25,2,2,9,0,0,0
1,21,d1-s2-r3-f004,2,3,4,0.000105,2->3,3->2,1,nan,False,nan,31,26,0.8387096774193549,5,31.0,5,31,26,1,1,10,0,0,0
1,22,d1-s2-r3-f005,2,3,5,0.000105,2->3,3->2,1,nan,False,nan,32,25,0.78125,7,,7,32,25,0,0,9,0,0,0
1,23,d1-s2-r3-f006,2,3,6,0.000105,2->3,3->2,1,nan,False,nan,28,23,0.8214285714285714,5,7.0,5,28,23,4,4,7,0,0,0
1,24,d1-s2-r3-f007,2,3,7,0.000105,2->3,3->2,1,nan,False,nan,29,21,0.7241379310344828,8,9.666666666666666,8,29,21,3,3,8,0,0,0
1,25,d1-s3-r4-f000,3,4,0,0.000105,3->4,4->3,1,9e-06,True,14563555555.555555,16,16,1.0,0,1.0,0,16,16,16,16,0,0,0,0
1,26,d1-s3-r4-f001,3,4,1,0.000105,3->4,4->3,1,1.1e-05,True,11915636363.636364,16,16,1.0,0,1.0,0,16,16,16,16,0,0,0,0
1,27,d1-s3-r4-f002,3,4,2,0.000105,3->4,4->3,1,nan,False,nan,29,26,0.896551724137931,3,9.666666666666666,3,29,26,3,3,10,0,0,0
1,28,d1-s3-r4-f003,3,4,3,0.000105,3->4,4->3,1,nan,False,nan,30,26,0.8666666666666667,4,15.0,4,30,26,2,2,10,0,0,0
1,29,d1-s3-r4-f004,3,4,4,0.000105,3->4,4->3,1,nan,False,nan,31,25,0.8064516129032258,6,31.0,6,31,25,1,1,9,0,0,0
1,30,d1-s3-r4-f005,3,4,5,0.000105,3->4,4->3,1,nan,False,nan,32,24,0.75,8,,8,32,24,0,0,8,0,0,0
1,31,d1-s3-r4-f006,3,4,6,0.000105,3->4,4->3,1,nan,False,nan,28,22,0.7857142857142857,6,7.0,6,28,22,4,4,6,0,0,0
1,32,d1-s3-r4-f007,3,4,7,0.000105,3->4,4->3,1,nan,False,nan,29,20,0.6896551724137931,9,9.666666666666666,9,29,20,3,3,7,0,0,0
1,33,d1-s4-r5-f000,4,5,0,0.000105,4->5,5->4,1,9e-06,True,14563555555.555555,16,16,1.0,0,1.0,0,16,16,16,16,0,0,0,0
1,34,d1-s4-r5-f001,4,5,1,0.000105,4->5,5->4,1,1.1e-05,True,11915636363.636364,16,16,1.0,0,1.0,0,16,16,16,16,0,0,0,0
1,35,d1-s4-r5-f002,4,5,2,0.000105,4->5,5->4,1,nan,False,nan,29,26,0.896551724137931,3,9.666666666666666,3,29,26,3,3,10,0,0,0
1,36,d1-s4-r5-f003,4,5,3,0.000105,4->5,5->4,1,nan,False,nan,30,26,0.8666666666666667,4,15.0,4,30,26,2,2,10,0,0,0
1,37,d1-s4-r5-f004,4,5,4,0.000105,4->5,5->4,1,nan,False,nan,31,26,0.8387096774193549,5,31.0,5,31,26,1,1,10,0,0,0
1,38,d1-s4-r5-f005,4,5,5,0.000105,4->5,5->4,1,nan,False,nan,32,24,0.75,8,,8,32,24,0,0,8,0,0,0
