completed_flow_count,completion_fraction,credit_drop_fraction,credit_waste_fraction,csv_path,fct_median_s,fct_p95_s,fct_p99_s,flow_count,json_path,links,nodes,profile,routing,scenario,throughput_sum_bps,topology,total_credits_admitted,total_credits_dropped,total_credits_received,total_credits_sent,total_credits_wasted,total_data_packets_received,total_data_packets_sent,total_duplicate_credits,total_duplicate_data,total_retransmissions,total_timeouts
1,1.0,0.0,0.0,results/flare_sweep/single_55us.csv,0.001531,0.001531,0.001531,1,results/flare_sweep/single_55us.json,1,4,55us,direct,single,334421946.44023514,round-robin,70,0,70,70,0,63,69,0,6,6,58
1,1.0,0.0,0.0,results/flare_sweep/single_15us.csv,0.001422,0.001422,0.001422,1,results/flare_sweep/single_15us.json,1,4,15us,direct,single,360056258.79043597,round-robin,70,0,70,70,0,63,69,0,6,6,59
3,1.0,0.0,0.0,results/flare_sweep/incast_55us.csv,0.001586,0.0016282999999999998,0.0016320599999999998,3,results/flare_sweep/incast_55us.json,1,4,55us,direct,incast,970780036.8655658,round-robin,633,0,211,211,0,189,207,0,18,18,176
3,1.0,0.0,0.0,results/flare_sweep/incast_15us.csv,0.001422,0.0014319,0.00143278,3,results/flare_sweep/incast_15us.json,1,4,15us,direct,incast,1081243464.026344,round-robin,630,0,210,210,0,189,206,0,17,17,178
8,1.0,0.0,0.0,results/flare_sweep/credit-pressure_55us.csv,0.001531,0.001532,0.001532,8,results/flare_sweep/credit-pressure_55us.json,1,4,55us,direct,credit-pressure,2674938989.3463717,round-robin,4480,0,560,560,0,504,552,0,48,48,464
8,1.0,0.4507042253521127,0.0,results/flare_sweep/credit-pressure_15us.csv,0.001602,0.001602,0.001602,8,results/flare_sweep/credit-pressure_15us.json,1,4,15us,direct,credit-pressure,2556803995.0062423,round-robin,4288,256,536,568,0,504,528,0,24,24,456
8,1.0,0.0,0.0,results/flare_sweep/dual-bottleneck_55us.csv,0.001633,0.001633,0.001633,8,results/flare_sweep/dual-bottleneck_55us.json,1,4,55us,direct,dual-bottleneck,2508266993.2639318,round-robin,4544,0,568,568,0,504,552,0,48,48,472
8,1.0,0.0,0.0,results/flare_sweep/dual-bottleneck_15us.csv,0.001407,0.001407,0.001407,8,results/flare_sweep/dual-bottleneck_15us.json,1,4,15us,direct,dual-bottleneck,2911158493.248046,round-robin,4480,0,560,560,0,504,544,0,40,40,472
8,1.0,0.0,0.0,results/flare_sweep/slice-switch_55us.csv,0.0016125,0.001633,0.001633,8,results/flare_sweep/slice-switch_55us.json,1,4,55us,direct,slice-switch,2567450944.866992,round-robin,4512,0,564,564,0,504,554,0,48,50,472
8,1.0,0.2841918294849023,0.0,results/flare_sweep/slice-switch_15us.csv,0.001415,0.0017398,0.0017935599999999998,8,results/flare_sweep/slice-switch_15us.json,1,4,15us,direct,slice-switch,2776832182.902157,round-robin,4344,160,543,563,0,504,535,0,29,31,462
