flow_id,name,group_name,hop_class,src,dst,data_path,credit_path,credit_hops,uses_bottleneck_tor1_to_tor2,start_s,fct_s,throughput_bps,data_packets_sent,data_packets_received,credits_sent,credits_received,credit_loss_proxy,credit_delivery_ratio,credit_hop_cost_sent,credit_hop_cost_received,credit_hop_loss_cost,retransmissions,timeouts,duplicate_data,duplicate_credits,path_len_0,path_len_1,path_len_2,path_len_3
1,long-r0-far-000,long-r0-far,long,3,0,3->0,0->1->2->3,3,True,0.0001,0.000149,3518711409.395973,64,64,64,64,0,1.0,192,192,0,0,0,0,0,64,0,0,0
2,long-r0-far-001,long-r0-far,long,3,0,3->0,0->1->2->3,3,True,0.0001,nan,nan,8,1,17,16,1,0.9411764705882353,51,48,3,0,0,0,0,1,0,0,0
3,long-r0-far-002,long-r0-far,long,3,0,3->0,0->1->2->3,3,True,0.0001,0.00015,3495253333.3333335,64,64,64,64,0,1.0,192,192,0,0,0,0,0,64,0,0,0
4,long-r0-far-003,long-r0-far,long,3,0,3->0,0->1->2->3,3,True,0.0001,nan,nan,14,14,30,28,2,0.9333333333333333,90,84,6,0,0,0,6,14,0,0,0
5,long-r0-far-004,long-r0-far,long,3,0,3->0,0->1->2->3,3,True,0.0001,nan,nan,8,8,24,23,1,0.9583333333333334,72,69,3,0,0,0,7,8,0,0,0
6,long-r0-far-005,long-r0-far,long,3,0,3->0,0->1->2->3,3,True,0.0001,nan,nan,10,10,26,24,2,0.9230769230769231,78,72,6,0,0,0,6,10,0,0,0
7,long-r0-far-006,long-r0-far,long,3,0,3->0,0->1->2->3,3,True,0.0001,nan,nan,18,17,33,33,0,1.0,99,99,0,0,0,0,6,17,0,0,0
8,long-r0-far-007,long-r0-far,long,3,0,3->0,0->1->2->3,3,True,0.0001,nan,nan,10,3,19,18,1,0.9473684210526315,57,54,3,0,0,0,0,3,0,0,0
9,long-r0-far-008,long-r0-far,long,3,0,3->0,0->1->2->3,3,True,0.0001,nan,nan,8,0,16,16,0,1.0,48,48,0,0,0,0,0,0,0,0,0
10,long-r0-far-009,long-r0-far,long,3,0,3->0,0->1->2->3,3,True,0.0001,nan,nan,8,0,16,15,1,0.9375,48,45,3,0,0,0,0,0,0,0,0
11,long-r0-far-010,long-r0-far,long,3,0,3->0,0->1->2->3,3,True,0.0001,nan,nan,8,0,16,16,0,1.0,48,48,0,0,0,0,0,0,0,0,0
12,long-r0-far-011,long-r0-far,long,3,0,3->0,0->1->2->3,3,True,0.0001,nan,nan,62,62,66,66,0,1.0,198,198,0,0,0,0,2,62,0,0,0
13,long-r0-far-012,long-r0-far,long,3,0,3->0,0->1->2->3,3,True,0.0001,nan,nan,10,4,20,20,0,1.0,60,60,0,0,0,0,0,4,0,0,0
14,long-r0-far-013,long-r0-far,long,3,0,3->0,0->1->2->3,3,True,0.0001,nan,nan,8,0,16,16,0,1.0,48,48,0,0,0,0,0,0,0,0,0
15,long-r0-far-014,long-r0-far,long,3,0,3->0,0->1->2->3,3,True,0.0001,nan,nan,8,0,16,15,1,0.9375,48,45,3,0,0,0,0,0,0,0,0
16,long-r0-far-015,long-r0-far,long,3,0,3->0,0->1->2->3,3,True,0.0001,nan,nan,8,0,16,16,0,1.0,48,48,0,0,0,0,0,0,0,0,0
17,long-r1-far-000,long-r1-far,long,3,1,3->1,1->2->3,2,True,0.0001,nan,nan,16,8,24,24,0,1.0,48,48,0,0,0,0,0,8,0,0,0
18,long-r1-far-001,long-r1-far,long,3,1,3->1,1->2->3,2,True,0.0001,nan,nan,16,8,24,24,0,1.0,48,48,0,0,0,0,0,8,0,0,0
19,long-r1-far-002,long-r1-far,long,3,1,3->1,1->2->3,2,True,0.0001,nan,nan,16,9,25,25,0,1.0,50,50,0,0,0,0,0,9,0,0,0
20,long-r1-far-003,long-r1-far,long,3,1,3->1,1->2->3,2,True,0.0001,nan,nan,31,30,46,46,0,1.0,92,92,0,0,0,0,6,30,0,0,0
21,long-r1-far-004,long-r1-far,long,3,1,3->1,1->2->3,2,True,0.0001,nan,nan,24,19,35,35,0,1.0,70,70,0,0,0,0,0,19,0,0,0
