flow_id,name,hop_class,src,dst,start_s,credit_min_hops,credit_max_hops,credit_avg_hops,credit_start_hops,fct_s,throughput_bps,data_packets_sent,data_packets_received,credits_sent,credits_received,credit_loss_proxy,credit_delivery_ratio,credit_tax,retransmissions,timeouts,path_len_0,path_len_1,path_len_2,path_len_3
1,long-0-5-15,long,5,15,0.000155,1,1,1.0,5,nan,nan,3226,2984,22984,4406,18578,0.19169857292029238,7.702412868632708,242,3226,2984,0,0,0
2,long-1-8-13,long,8,13,0.000155,1,1,1.0,5,nan,nan,7124,6622,26622,8428,18194,0.3165802719555255,4.020235578375114,502,7124,6622,0,0,0
3,long-2-9-12,long,9,12,0.000155,1,1,1.0,5,nan,nan,8546,8083,28083,10102,17981,0.35971940319766404,3.4743288383026103,463,8546,8083,0,0,0
4,long-3-10-11,long,10,11,0.000155,1,1,1.0,5,0.242805,276389959.02061325,8853,8192,9406,9300,106,0.9887305974909633,1.148193359375,661,8850,8192,0,0,0
5,long-4-11-10,long,11,10,0.000155,1,1,1.0,5,nan,nan,3002,2861,22861,4136,18725,0.18091946983946458,7.990562740300594,141,3001,2861,0,0,0
6,long-5-12-9,long,12,9,0.000155,1,1,1.0,5,0.2724,246361468.42878124,8743,8192,9554,9338,216,0.9773916684111367,1.166259765625,551,8736,8192,0,0,0
7,long-6-13-8,long,13,8,0.000155,1,1,1.0,5,nan,nan,6986,6614,26614,8477,18137,0.3185165702261967,4.023888720895071,372,6986,6614,0,0,0
8,long-7-0-8,long,0,8,0.000155,1,1,1.0,4,0.216546,309905812.16000295,9005,8192,9274,9247,27,0.99708863489325,1.132080078125,813,8999,8192,0,0,0
9,short-0-0-13,short,0,13,0.000155,1,1,1.0,1,0.189262,354581817.79755044,8887,8192,9138,9088,50,0.9945283431823156,1.115478515625,695,8884,8192,0,0,0
10,short-1-0-14,short,0,14,0.000155,1,1,1.0,1,0.206197,325459943.64612484,8975,8192,9222,9178,44,0.9952288006939927,1.125732421875,783,8957,8192,0,0,0
11,short-2-0-15,short,0,15,0.000155,1,1,1.0,1,0.243101,276053426.35365546,8938,8192,9407,9311,96,0.9897948336345275,1.1483154296875,746,8921,8192,0,0,0
12,short-3-1-10,short,1,10,0.000155,1,1,1.0,1,0.235087,285463951.64343417,8920,8192,9367,9326,41,0.9956229315682716,1.1434326171875,728,8916,8192,0,0,0
13,short-4-1-12,short,1,12,0.000155,1,1,1.0,1,0.224503,298921903.04806614,9048,8192,9314,9313,1,0.9998926347433971,1.136962890625,856,9027,8192,0,0,0
14,short-5-1-14,short,1,14,0.000155,1,1,1.0,1,0.247269,271400232.13585204,9188,8192,9428,9367,61,0.9935299109036911,1.15087890625,996,9174,8192,0,0,0
15,short-6-2-9,short,2,9,0.000155,1,1,1.0,1,0.291616,230127510.1503347,9105,8192,9650,9631,19,0.9980310880829015,1.177978515625,913,9105,8192,0,0,0
16,short-7-2-11,short,2,11,0.000155,1,1,1.0,1,0.194431,345155165.5857348,8912,8192,9164,9164,0,1.0,1.11865234375,720,8901,8192,0,0,0
