flow_id,src,dst,credits_sent,credits_received,credits_admitted,credits_dropped,data_packets_sent,data_packets_received,fct_s,credit_efficiency,avg_credit_rate,retransmissions,timeouts
1,0,32,2398,2387,113683,719,1206,1024,0.274848,0.427022518765638,8724.822447316335,182,1206
2,1,32,2397,2392,113683,719,1224,1024,0.274793,0.42720066750104296,8722.929623389242,200,1224
3,2,32,2393,2393,113683,719,1365,1024,0.273819,0.4279147513581279,8739.34971641851,341,1362
4,3,32,2397,2375,113683,719,1315,1024,0.274687,0.42720066750104296,8726.295747523545,291,1314
5,4,32,2336,2336,113683,719,1157,1024,0.262553,0.4383561643835616,8897.251221658104,133,1154
6,5,32,2397,2369,113683,719,1364,1024,0.274632,0.42720066750104296,8728.043345276588,340,1363
7,6,32,2289,2289,113683,719,1187,1024,0.253173,0.4473569244211446,9041.248474363381,163,1187
8,7,32,2396,2367,113683,719,1346,1024,0.274573,0.4273789649415693,8726.276800705095,322,1346
9,8,32,2242,2242,113683,719,1221,1024,0.243768,0.4567350579839429,9197.269534967674,197,1221
10,9,32,2396,2358,113683,719,1327,1024,0.274522,0.4273789649415693,8727.897946248388,303,1326
11,10,32,2223,2223,113683,719,1267,1024,0.239931,0.46063877642825013,9265.163734573689,243,1265
12,11,32,2396,2362,113683,719,1328,1024,0.274467,0.4273789649415693,8729.646915658348,304,1327
13,12,32,2223,2223,113683,719,1334,1024,0.239876,0.46063877642825013,9267.288098851073,310,1332
14,13,32,2396,2357,113683,719,1314,1024,0.274412,0.4273789649415693,8731.396586155124,290,1313
15,14,32,2223,2223,113683,719,1367,1024,0.239821,0.46063877642825013,9269.413437522151,343,1365
16,15,32,2395,2342,113683,719,1292,1024,0.274353,0.42755741127348645,8729.62934613436,268,1292
17,16,32,2222,2222,113683,719,1404,1024,0.239766,0.4608460846084608,9267.369018126006,380,1402
18,17,32,2395,2351,113683,719,1272,1024,0.274302,0.42755741127348645,8731.252415221179,248,1271
19,18,32,2222,2222,113683,719,1436,1024,0.239711,0.4608460846084608,9269.495350651408,412,1434
20,19,32,2395,2344,113683,719,1262,1024,0.274247,0.42755741127348645,8733.003460384252,238,1261
21,20,32,2222,2222,113683,719,1481,1024,0.239656,0.4608460846084608,9271.622659144774,457,1479
22,21,32,2394,2347,113683,719,1251,1024,0.274192,0.4277360066833751,8731.10812861061,227,1250
23,22,32,2222,2222,113683,719,1568,1024,0.239601,0.4608460846084608,9273.750944278196,544,1566
24,23,32,2385,2322,113683,719,1227,1024,0.272271,0.4293501048218029,8759.654902652137,203,1226
25,24,32,2221,2221,113683,719,1628,1024,0.239546,0.4610535794687078,9271.705643175006,604,1626
26,25,32,2394,2343,113683,719,1191,1024,0.274082,0.4277360066833751,8734.61226932086,167,1190
27,26,32,2221,2221,113683,719,1695,1024,0.239483,0.4610535794687078,9274.144720084516,671,1694
28,27,32,2394,2334,113683,719,1177,1024,0.274027,0.4277360066833751,8736.365394650891,153,1176
29,28,32,2221,2221,113683,719,1701,1024,0.239428,0.4610535794687078,9276.275122374993,677,1700
30,29,32,2393,2323,113683,719,1155,1024,0.273972,0.4279147513581279,8734.469215832276,131,1154
31,30,32,2220,2220,113683,719,1715,1024,0.239373,0.46126126126126127,9274.228923061499,691,1714
32,31,32,2393,2319,113683,719,1207,1024,0.273921,0.4279147513581279,8736.095443576796,183,1206
