tor,stage,from_host,from_uplink,forwarded,delivered,drops,overflow_drops,credit_admitted,credit_dropped,credit_wasted,data_packets_seen
0,leaf/sender,0,0,0,0,0,0,0,0,0,0
1,leaf/sender,45,184,45,184,0,0,0,0,0,45
2,receiver2 first-hop / sender-short,471,274,413,274,58,0,364,58,0,45
3,receiver12 short sender / branch to 7 or 12,45,462,323,184,0,0,226,0,0,95
4,leaf/sender,45,185,44,185,1,1,0,0,0,45
5,leaf/sender,0,0,0,0,0,0,0,0,0,0
6,tor6 hub,45,861,552,184,170,0,407,170,0,141
7,tor7 hub,45,691,552,184,0,0,408,0,0,140
8,tor8 hub,0,458,458,0,0,0,365,0,0,89
9,receiver11 first-hop / sender-short,45,413,274,184,0,0,182,0,0,90
10,receiver10 first-hop,463,51,397,51,66,0,395,66,0,0
11,receiver11 first-hop,426,90,368,90,58,0,364,58,0,0
12,receiver12 first-hop / sender-long10,433,132,375,132,58,0,365,58,0,6
